IP, GET count, PUT count, POST count 
unicomp6.unicomp.net,14,0,0
129.94.144.152,54,0,0
ppptky391.asahi-net.or.jp,8,0,0
slip1.yab.com,81,0,0
pm13.j51.com,6,0,0
dd14-046.compuserve.com,12,0,0
usr7-dialup46.chicago.mci.net,1,0,0
teleman.pr.mcs.net,58,0,0
isdn6-34.dnai.com,22,0,0
ix-ftw-tx1-24.ix.netcom.com,8,0,0
ad12-051.compuserve.com,10,0,0
citynet.ci.la.ca.us,49,0,0
wwwproxy.info.au,543,0,0
204.19.123.36,64,0,0
piweba1y.prodigy.com,9868,0,0
204.120.76.119,2,0,0
leet.cts.com,19,0,0
www-b2.proxy.aol.com,3732,0,0
boing.dgsys.com,8,0,0
204.227.13.26,10,0,0
ip155.tmn.com,2,0,0
ppp5.earthlight.co.nz,46,0,0
204.248.98.63,9,0,0
ppp6.cpbx.net,19,0,0
blv-pm2-ip16.halcyon.com,56,0,0
ana0013.deltanet.com,18,0,0
202.36.46.52,4,0,0
131.128.2.155,19,0,0
indy2.indy.net,268,0,0
149.171.160.182,9,0,0
199.2.253.2,1,0,0
fht.cts.com,6,0,0
yiura.dial-switch.ch,6,0,0
ad08-027.compuserve.com,30,0,0
pma02.rt66.com,31,0,0
204.212.154.177,4,0,0
smccay.earthlink.net,11,0,0
sos.wingham.com,24,0,0
pm214.smartlink.net,5,0,0
blv-pm0-ip5.halcyon.com,7,0,0
gn2.getnet.com,1055,0,0
cad118.cadvision.com,17,0,0
slip-774.netaxs.com,5,0,0
dial42.ppp.iastate.edu,13,0,0
slper1p08.ozemail.com.au,25,0,0
bowen.islandnet.com,14,0,0
source.iconz.co.nz,132,0,0
dd09-056.compuserve.com,5,0,0
ttyc22ip.magic.mb.ca,19,0,0
dial2-15.midwest.net,4,0,0
b.assign.garlic.com,3,0,0
ppp36.compumedia.com,10,0,0
dialup103.myriad.net,24,0,0
www-d1.proxy.aol.com,4158,0,0
130.54.33.130,6,0,0
selene.sol.cs.ritsumei.ac.jp,17,0,0
watermark.helix.net,13,0,0
guest.dtc.net,32,0,0
fractal.mech.tohoku.ac.jp,289,0,0
ix-lv4-11.ix.netcom.com,34,0,0
compware.phx.net99.net,14,0,0
ppp12.quiknet.com,8,0,0
ix-mhl-ca1-18.ix.netcom.com,15,0,0
ns.htokai.ac.jp,22,0,0
castles19.castles.com,4,0,0
lanz.islandnet.com,10,0,0
securit-ext.stlnet.com,19,0,0
202.49.64.138,6,0,0
ppp167.aix.or.jp,12,0,0
202.240.226.26,7,0,0
phoenix.kent.edu,27,0,0
204.250.15.29,2,0,0
client7.sedona.net,2,0,0
ip-pdx3-24.teleport.com,7,0,0
ix-dc8-21.ix.netcom.com,27,0,0
ppp05-12.rns.tamu.edu,45,0,0
ix-mod-ca1-23.ix.netcom.com,24,0,0
204.96.174.56,10,0,0
msp6-11.nas.mr.net,4,0,0
204.176.108.2,6,0,0
pinot.callamer.com,147,0,0
cindy.yamato.ibm.co.jp,140,0,0
genie.com,100,0,0
bluejay.excel.net,73,0,0
scooter.pa-x.dec.com,205,0,0
pool03-30.innet.be,67,0,0
dd07-024.compuserve.com,11,0,0
turnpike28.onramp.net,5,0,0
146.63.242.210,9,0,0
rcwusr.bp.com,127,0,0
pm028-09.dialip.mich.net,4,0,0
asn11.whidbey.net,21,0,0
kuentos.guam.net,56,0,0
ip134.fhu.primenet.com,24,0,0
204.138.186.16,13,0,0
ppp09-18.rns.tamu.edu,7,0,0
godzilla.zeta.org.au,65,0,0
cad172.cadvision.com,11,0,0
ix-sf9-02.ix.netcom.com,1,0,0
slper1p24.ozemail.com.au,2,0,0
dd15-028.compuserve.com,65,0,0
